case_id,model,dice,iou,precision,recall,hd95,resize_applied,gpu_used,source
106.0,SegResNet,0.8227822780609131,0.6989210844039917,0.8683632016181946,0.7817478775978088,6.032834529876709,False,False,csv_metrics
107.0,SegResNet,0.7676451802253723,0.6229092478752136,0.7649177312850952,0.7703921794891357,18.6279354095459,False,False,csv_metrics
108.0,SegResNet,0.7151461839675903,0.5565973520278931,0.769774854183197,0.6677574515342712,13.93913745880127,False,False,csv_metrics
109.0,SegResNet,0.8032674789428711,0.6712172031402588,0.7242017984390259,0.9017131328582764,18.468652725219727,False,False,csv_metrics
110.0,SegResNet,0.8272942900657654,0.7054576873779297,0.8489558696746826,0.8067106008529663,7.348469257354736,False,False,csv_metrics
111.0,SegResNet,0.8278111815452576,0.7062097191810608,0.8611739277839661,0.7969369888305664,2.8284270763397217,False,False,csv_metrics
112.0,SegResNet,0.8576592206954956,0.7507910132408142,0.9127017259597778,0.8088780045509338,1.4142135381698608,False,False,csv_metrics
113.0,SegResNet,0.8126981258392334,0.6844915747642517,0.8623962998390198,0.7684158682823181,9.0,False,False,csv_metrics
114.0,SegResNet,0.8147961497306824,0.6874734163284302,0.7938721179962158,0.83685302734375,12.792420387268066,False,False,csv_metrics
115.0,SegResNet,0.8524748086929321,0.742881178855896,0.8455404043197632,0.8595239520072937,12.794525146484377,False,False,csv_metrics
116.0,SegResNet,0.8350123167037964,0.7167563438415527,0.8391162157058716,0.8309484124183655,5.0,False,False,csv_metrics
117.0,SegResNet,0.8116980195045471,0.6830738186836243,0.7714852690696716,0.856333315372467,17.745304107666016,False,False,csv_metrics
118.0,SegResNet,0.8007594347000122,0.6677221655845642,0.75136399269104,0.8571065664291382,14.696938514709473,False,False,csv_metrics
119.0,SegResNet,0.811369776725769,0.6826090812683105,0.7773548364639282,0.848497748374939,11.78982639312744,False,False,csv_metrics
120.0,SegResNet,0.822114109992981,0.6979573369026184,0.7754191160202026,0.8747932314872742,14.866068840026855,False,False,csv_metrics
121.0,SegResNet,0.7284325957298279,0.5728619694709778,0.7165060043334961,0.7407630085945129,25.63590812683105,False,False,csv_metrics
122.0,SegResNet,0.853485643863678,0.7444177865982056,0.844822883605957,0.8623279333114624,1.7320507764816284,False,False,csv_metrics
123.0,SegResNet,0.7759591937065125,0.6339324116706848,0.8409842252731323,0.7202678918838501,11.57583713531494,False,False,csv_metrics
124.0,SegResNet,0.7820700407028198,0.6421305537223816,0.8608665466308594,0.7164886593818665,9.54977798461914,False,False,csv_metrics
125.0,SegResNet,0.7158703804016113,0.5574751496315002,0.8202108144760132,0.6350806355476379,8.83176040649414,False,False,csv_metrics
126.0,SegResNet,0.8526570796966553,0.7431580424308777,0.8531495332717896,0.8521652221679688,1.4142135381698608,False,False,csv_metrics
127.0,SegResNet,0.8278631567955017,0.7062854170799255,0.8725178241729736,0.7875567078590393,8.246211051940918,False,False,csv_metrics
128.0,SegResNet,0.8525550365447998,0.7430030107498169,0.868742823600769,0.8369595408439636,1.4142135381698608,False,False,csv_metrics
129.0,SegResNet,0.7254225015640259,0.5691474080085754,0.8534319996833801,0.6308055520057678,9.110433578491213,False,False,csv_metrics
130.0,SegResNet,0.6983473896980286,0.5365082621574402,0.642530083656311,0.7647850513458252,25.571456909179688,False,False,csv_metrics
131.0,SegResNet,0.7242470383644104,0.5677016377449036,0.8096864819526672,0.655117928981781,23.00434112548828,False,False,csv_metrics
132.0,SegResNet,0.8163136839866638,0.6896368265151978,0.8577101230621338,0.7787291407585144,9.289631843566896,False,False,csv_metrics
133.0,SegResNet,0.773611307144165,0.6308043599128723,0.8476161360740662,0.7114914655685425,22.825424194335938,False,False,csv_metrics
134.0,SegResNet,0.7889119982719421,0.6514076590538025,0.8155385255813599,0.7639691829681396,12.449899673461914,False,False,csv_metrics
135.0,SegResNet,0.814490795135498,0.6870388388633728,0.8483707904815674,0.7832129597663879,7.549834251403809,False,False,csv_metrics
136.0,SegResNet,0.73972487449646,0.5869550704956055,0.8337296843528748,0.6647705435752869,9.48683261871338,False,False,csv_metrics
137.0,SegResNet,0.8947435021400452,0.8095346689224243,0.8642979264259338,0.9274123311042786,1.0,False,False,csv_metrics
138.0,SegResNet,0.7124521732330322,0.5533403754234314,0.8210283517837524,0.629239022731781,10.440306663513184,False,False,csv_metrics
1000.0,SegResNet,0.8402644395828247,0.7245311141014099,0.8082027435302734,0.8749750256538391,3.0568130016326904,False,False,csv_metrics
