Case,Dice,HD95,IoU,Precision,Recall,Model,Original_ID,GPU_Used,Resize_Applied
Case_89,0.010916323401033878,,0.005488116759806871,0.009193303994834423,0.013434169813990593,3D_U-Net,940,True,True
Case_90,0.018354447558522224,,0.009262225590646267,0.014672677963972092,0.02450288087129593,3D_U-Net,941,True,True
Case_91,0.045107483863830566,,0.02307415008544922,0.03674528747797012,0.05839700251817703,3D_U-Net,942,True,True
Case_92,0.0427720844745636,,0.021853400394320488,0.03126076981425285,0.06770253926515579,3D_U-Net,943,True,True
Case_93,0.026288628578186035,,0.013319388031959534,0.02174685336649418,0.03322826325893402,3D_U-Net,944,True,True
Case_94,0.027927694842219353,,0.014161597937345505,0.022076383233070374,0.03799936920404434,3D_U-Net,945,True,True
Case_95,0.018753763288259506,,0.009465639479458332,0.016535021364688873,0.021660223603248596,3D_U-Net,946,True,True
Case_96,0.020149149000644684,,0.010177104733884335,0.02338416874408722,0.017700431868433952,3D_U-Net,947,True,True
Case_97,0.0352238304913044,,0.017927654087543488,0.029153045266866684,0.04448792338371277,3D_U-Net,948,True,True
Case_98,0.014022573828697205,,0.007060792297124863,0.0107011329382658,0.02033383585512638,3D_U-Net,949,True,True
Case_99,0.01781350187957287,,0.008986793458461761,0.013530460186302662,0.026064015924930573,3D_U-Net,950,True,True
Case_100,0.027201058343052864,,0.013788053765892982,0.025264902040362358,0.02945859357714653,3D_U-Net,951,True,True
Case_101,0.025093471631407738,,0.012706156820058823,0.0212008785456419,0.030736934393644333,3D_U-Net,952,True,True
Case_102,0.0574224628508091,,0.02955993264913559,0.060645103454589844,0.05452503636479378,3D_U-Net,953,True,True
Case_103,0.03968188539147377,,0.02024257369339466,0.04017291218042374,0.03920271620154381,3D_U-Net,954,True,True
Case_104,0.03545050695538521,,0.018045106902718544,0.034267570823431015,0.036718036979436874,3D_U-Net,955,True,True
Case_105,0.031046051532030106,,0.015767790377140045,0.028959818184375763,0.03345620259642601,3D_U-Net,956,True,True
Case_106,0.04554415121674538,,0.023302726447582245,0.0431235134601593,0.04825270548462868,3D_U-Net,957,True,True
Case_107,0.028850538656115532,,0.014636402949690819,0.02553822100162506,0.033150121569633484,3D_U-Net,958,True,True
Case_108,0.03283785283565521,,0.016693009063601494,0.029640451073646545,0.03680849447846413,3D_U-Net,959,True,True
Case_109,0.02262120693922043,,0.011439996771514416,0.017771273851394653,0.031111914664506912,3D_U-Net,960,True,True
Case_110,0.028084052726626396,,0.014242012985050678,0.026436207816004753,0.029950985684990883,3D_U-Net,961,True,True
Case_111,0.040280431509017944,,0.020554181188344955,0.03626870736479759,0.045290011912584305,3D_U-Net,962,True,True
Case_112,0.049266424030065536,,0.02525533176958561,0.04935520887374878,0.04917795583605766,3D_U-Net,963,True,True
Case_113,0.05553166940808296,,0.028558794409036636,0.04833552986383438,0.06524533033370972,3D_U-Net,964,True,True
Case_114,0.050120361149311066,,0.025704335421323776,0.04507642984390259,0.05643531680107117,3D_U-Net,965,True,True
Case_115,0.033518772572278976,,0.017045050859451294,0.029542097821831703,0.038732584565877914,3D_U-Net,966,True,True
Case_116,0.015049499459564686,,0.007581800688058138,0.013340041041374207,0.01726146973669529,3D_U-Net,967,True,True
Case_117,0.026143478229641914,,0.013244871981441975,0.02164018154144287,0.03301355987787247,3D_U-Net,968,True,True
Case_118,0.04049922898411751,,0.020668135955929756,0.03640398010611534,0.04563264921307564,3D_U-Net,969,True,True
Case_119,0.02933524362742901,,0.014885962940752506,0.029065052047371864,0.02961050532758236,3D_U-Net,970,True,True
Case_120,0.019395411014556885,,0.009792672470211983,0.015819799154996872,0.02505936287343502,3D_U-Net,971,True,True
Case_121,0.031594227999448776,,0.0160506684333086,0.02512209117412567,0.0425584502518177,3D_U-Net,972,True,True
Case_122,0.039405323565006256,,0.02009866014122963,0.032638102769851685,0.04971284046769142,3D_U-Net,973,True,True
