Original_ID,Dice,IoU,Precision,Recall,HD95,Model,Case_ID
927.0,0.0199655424803495,0.0100834323093295,0.0169666279107332,0.024252213537693,,3D U-Net,927
928.0,0.0260483045130968,0.0131960185244679,0.0236135367304086,0.0290428847074508,,3D U-Net,928
929.0,0.0126877501606941,0.0063843764364719,0.0101500172168016,0.0169175080955028,,3D U-Net,929
930.0,0.0269338432699441,0.0136507553979754,0.0254899132996797,0.028551185503602,,3D U-Net,930
931.0,0.0682700872421264,0.0353414267301559,0.0480688624083995,0.1177590191364288,,3D U-Net,931
932.0,0.0615121647715568,0.0317320339381694,0.0599474422633647,0.0631607547402381,,3D U-Net,932
933.0,0.0349749028682708,0.0177987068891525,0.0328990183770656,0.0373304076492786,,3D U-Net,933
934.0,0.0121681587770581,0.0061213220469653,0.0111023774370551,0.0134602896869182,,3D U-Net,934
935.0,0.026665836572647,0.0135130872949957,0.0230222772806882,0.0316795110702514,,3D U-Net,935
936.0,0.0168969426304101,0.0085204569622874,0.015159067697823,0.0190848857164382,,3D U-Net,936
937.0,0.0536364652216434,0.0275572706013917,0.0493786633014678,0.0586978420615196,,3D U-Net,937
938.0,0.0431654155254364,0.0220587961375713,0.0380182228982448,0.0499245785176754,,3D U-Net,938
939.0,0.0533272176980972,0.0273940321058034,0.0472375154495239,0.0612194202840328,,3D U-Net,939
940.0,0.0109163234010338,0.0054881167598068,0.0091933039948344,0.0134341698139905,,3D U-Net,940
941.0,0.0183544475585222,0.0092622255906462,0.014672677963972,0.0245028808712959,,3D U-Net,941
942.0,0.0451074838638305,0.0230741500854492,0.0367452874779701,0.058397002518177,,3D U-Net,942
943.0,0.0427720844745636,0.0218534003943204,0.0312607698142528,0.0677025392651557,,3D U-Net,943
944.0,0.026288628578186,0.0133193880319595,0.0217468533664941,0.033228263258934,,3D U-Net,944
945.0,0.0279276948422193,0.0141615979373455,0.0220763832330703,0.0379993692040443,,3D U-Net,945
946.0,0.0187537632882595,0.0094656394794583,0.0165350213646888,0.0216602236032485,,3D U-Net,946
947.0,0.0201491490006446,0.0101771047338843,0.0233841687440872,0.0177004318684339,,3D U-Net,947
948.0,0.0352238304913044,0.0179276540875434,0.0291530452668666,0.0444879233837127,,3D U-Net,948
949.0,0.0140225738286972,0.0070607922971248,0.0107011329382658,0.0203338358551263,,3D U-Net,949
950.0,0.0178135018795728,0.0089867934584617,0.0135304601863026,0.0260640159249305,,3D U-Net,950
951.0,0.0272010583430528,0.0137880537658929,0.0252649020403623,0.0294585935771465,,3D U-Net,951
952.0,0.0250934716314077,0.0127061568200588,0.0212008785456419,0.0307369343936443,,3D U-Net,952
953.0,0.0574224628508091,0.0295599326491355,0.0606451034545898,0.0545250363647937,,3D U-Net,953
954.0,0.0396818853914737,0.0202425736933946,0.0401729121804237,0.0392027162015438,,3D U-Net,954
955.0,0.0354505069553852,0.0180451069027185,0.034267570823431,0.0367180369794368,,3D U-Net,955
956.0,0.0310460515320301,0.01576779037714,0.0289598181843757,0.033456202596426,,3D U-Net,956
957.0,0.0455441512167453,0.0233027264475822,0.0431235134601593,0.0482527054846286,,3D U-Net,957
958.0,0.0288505386561155,0.0146364029496908,0.025538221001625,0.0331501215696334,,3D U-Net,958
959.0,0.0328378528356552,0.0166930090636014,0.0296404510736465,0.0368084944784641,,3D U-Net,959
960.0,0.0226212069392204,0.0114399967715144,0.0177712738513946,0.0311119146645069,,3D U-Net,960
961.0,0.0280840527266263,0.0142420129850506,0.0264362078160047,0.0299509856849908,,3D U-Net,961
962.0,0.0402804315090179,0.0205541811883449,0.0362687073647975,0.0452900119125843,,3D U-Net,962
963.0,0.0492664240300655,0.0252553317695856,0.0493552088737487,0.0491779558360576,,3D U-Net,963
964.0,0.0555316694080829,0.0285587944090366,0.0483355298638343,0.0652453303337097,,3D U-Net,964
965.0,0.050120361149311,0.0257043354213237,0.0450764298439025,0.0564353168010711,,3D U-Net,965
966.0,0.0335187725722789,0.0170450508594512,0.0295420978218317,0.0387325845658779,,3D U-Net,966
967.0,0.0150494994595646,0.0075818006880581,0.0133400410413742,0.0172614697366952,,3D U-Net,967
968.0,0.0261434782296419,0.0132448719814419,0.0216401815414428,0.0330135598778724,,3D U-Net,968
